Name,Link,Year,GRAPHICS PROCESSOR,CORES,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,GPU Variant,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Launch Price,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,Pixel Rate,Texture Rate,FP32 (float) performance,Length,Width,Height,Weight,TDP,Outputs,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,Bus Interface,Reviews,L1 Cache,L2 Cache,Slot Width,Suggested PSU,Power Connectors,Predecessor,Successor,FP64 (double) performance,Board Number,Base Clock,Boost Clock,PIXEL SHADERS,VERTEX SHADERS,Pixel Shaders,Vertex Shaders,Vertex Rate,Pixel Shader,Vertex Shader,Part Number
Mobility Radeon X1800,https://www.techpowerup.com/gpu-specs/mobility-radeon-x1800.c1605,2006,M58,,12,12,256 MB,GDDR3,256 bit,M58,"M58 P
(216PQKCKA15FG)",R500,TSMC,90 nm,321 million,288 mm²,"Mar 1st, 2006","M5x
(Mobility X1)",End-of-life,,450 MHz,"500 MHz
1000 Mbps effective",256 MB,GDDR3,256 bit,32.00 GB/s,,12,12,,5.400 GPixel/s,5.400 GTexel/s,,,,,,unknown,No outputs,9.0c (9_3),2.1,N/A,N/A,3.0,MXM-III,2 in our database,,,MXM Module,,,M2x,M6x,,,,,12,8,12,8,900.0 MVertices/s,,,
Mobility Radeon X1800 XT,https://www.techpowerup.com/gpu-specs/mobility-radeon-x1800-xt.c1606,2006,M58,,16,16,256 MB,GDDR3,256 bit,M58,"M58 P
(216PQKCKA15FG)",R500,TSMC,90 nm,321 million,288 mm²,"Mar 1st, 2006","M5x
(Mobility X1)",End-of-life,,550 MHz,"650 MHz
1300 Mbps effective",256 MB,GDDR3,256 bit,41.60 GB/s,,16,16,,8.800 GPixel/s,8.800 GTexel/s,,,,,,unknown,No outputs,9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,2 in our database,,,,,,M2x,M6x,,,,,16,8,16,8,1.100 GVertices/s,,,
Radeon X1050,https://www.techpowerup.com/gpu-specs/radeon-x1050.c520,2006,RV370,,4,4,128 MB,DDR2,64 bit,RV370,"RV370 X1050
(215S8CAKA23FG)",Rage 9,TSMC,110 nm,107 million,74 mm²,"Dec 7th, 2006","Radeon R300
(X1050)",End-of-life,,400 MHz,"333 MHz
666 Mbps effective",128 MB,DDR2,64 bit,5.328 GB/s,,4,4,,1.600 GPixel/s,1.600 GTexel/s,,,,,,24 W,"1x DVI
1x VGA
1x S-Video",9.0,2.0,N/A,N/A,,PCIe 1.0 x16,4 in our database,,,Single-slot,200 W,None,Radeon R200,Radeon R400 AGP,,,,,4,2,4,2,200.0 MVertices/s,2.0,2.0,
Radeon X1050 AGP,https://www.techpowerup.com/gpu-specs/radeon-x1050-agp.c1813,2006,RV350,,4,4,128 MB,DDR,128 bit,RV350,,Rage 8,TSMC,130 nm,60 million,76 mm²,"Dec 7th, 2006","Radeon R300
(X1050)",End-of-life,,250 MHz,"200 MHz
400 Mbps effective",128 MB,DDR,128 bit,6.400 GB/s,,4,4,,1.000 GPixel/s,1.000 GTexel/s,,,,,,24 W,"1x DVI
1x VGA
1x S-Video",9.0 (9_0),2.0,N/A,N/A,,AGP 8x,4 in our database,,,Single-slot,200 W,None,Radeon R200,Radeon R400 AGP,,,,,4,2,4,2,125.0 MVertices/s,2.0,2.0,
Radeon X1300 PRO,https://www.techpowerup.com/gpu-specs/radeon-x1300-pro.c543,2006,RV516,,4,4,256 MB,DDR,128 bit,RV516,"RV516 PRO
(215B1DAVA12FG)",R500,UMC,80 nm,107 million,100 mm²,"Nov 1st, 2006","Radeon R500 PCIe
(X1300)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",256 MB,DDR,128 bit,12.80 GB/s,,4,4,,2.400 GPixel/s,2.400 GTexel/s,,,,,,31 W,No outputs,9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,48 in our database,,,Single-slot,200 W,None,Radeon R400 PCIe,Radeon R600,,,,,4,2,4,2,300.0 MVertices/s,,,
Radeon X1300 XT,https://www.techpowerup.com/gpu-specs/radeon-x1300-xt.c544,2006,RV530,,4,4,256 MB,DDR2,128 bit,RV530,"RV530 XT
(215CACAKA26FG)",R500,TSMC,90 nm,157 million,150 mm²,"Aug 12th, 2006","Radeon R500 PCIe
(X1300)",End-of-life,,500 MHz,"400 MHz
800 Mbps effective",256 MB,DDR2,128 bit,12.80 GB/s,,4,4,,2.000 GPixel/s,2.000 GTexel/s,,,,,,22 W,"1x DVI
1x VGA
1x S-Video",9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,48 in our database,,,Single-slot,200 W,None,Radeon R400 PCIe,Radeon R600,,,,,12,5,12,5,625.0 MVertices/s,,,
Radeon X1300 XT AGP,https://www.techpowerup.com/gpu-specs/radeon-x1300-xt-agp.c949,2006,RV530,,4,4,256 MB,GDDR3,128 bit,RV530,"RV530 XT
(215CACAKA26FG)",R500,TSMC,90 nm,157 million,150 mm²,"Aug 12th, 2006","Radeon R500 AGP
(X1300)",End-of-life,,500 MHz,"400 MHz
800 Mbps effective",256 MB,GDDR3,128 bit,12.80 GB/s,,4,4,,2.000 GPixel/s,2.000 GTexel/s,,,,,,22 W,"1x DVI
1x VGA
1x S-Video",9.0c (9_3),2.1,N/A,N/A,3.0,AGP 8x,48 in our database,,,Single-slot,200 W,None,Radeon R400 AGP,Radeon R600,,,,,12,5,12,5,625.0 MVertices/s,,,
Radeon X1650 PRO,https://www.techpowerup.com/gpu-specs/radeon-x1650-pro.c449,2006,RV535,,4,4,256 MB,GDDR3,128 bit,RV535,RV535 XT,R500,TSMC,80 nm,330 million,131 mm²,"Aug 23rd, 2006","Radeon R500 PCIe
(X1650)",End-of-life,,600 MHz,"700 MHz
1400 Mbps effective",256 MB,GDDR3,128 bit,22.40 GB/s,,4,4,,2.400 GPixel/s,2.400 GTexel/s,,,,,,44 W,"2x DVI
1x S-Video",9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,49 in our database,,,Single-slot,200 W,None,Radeon R400 PCIe,Radeon R600,,,,,12,5,12,5,750.0 MVertices/s,,,
Radeon X1650 PRO AGP,https://www.techpowerup.com/gpu-specs/radeon-x1650-pro-agp.c976,2006,RV535,,4,4,256 MB,GDDR3,128 bit,RV535,RV535 XT,R500,TSMC,80 nm,330 million,131 mm²,"Oct 15th, 2006","Radeon R500 AGP
(X1650)",End-of-life,,600 MHz,"700 MHz
1400 Mbps effective",256 MB,GDDR3,128 bit,22.40 GB/s,,4,4,,2.400 GPixel/s,2.400 GTexel/s,,,,,,44 W,"2x DVI
1x S-Video",9.0c (9_3),2.1,N/A,N/A,3.0,AGP 8x,49 in our database,,,Single-slot,200 W,1x Molex,Radeon R400 AGP,Radeon R600,,,,,12,5,12,5,750.0 MVertices/s,,,
Radeon X1650 XT,https://www.techpowerup.com/gpu-specs/radeon-x1650-xt.c451,2006,RV560,,8,8,256 MB,GDDR3,128 bit,RV560,"RV560 XT
(215PAGAKA12FG)",R500,TSMC,80 nm,330 million,230 mm²,"Oct 30th, 2006","Radeon R500 PCIe
(X1650)",End-of-life,199 USD,525 MHz,"700 MHz
1400 Mbps effective",256 MB,GDDR3,128 bit,22.40 GB/s,,8,8,,4.200 GPixel/s,4.200 GTexel/s,,,,,,55 W,"2x DVI
1x S-Video",9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,49 in our database,,,Single-slot,250 W,None,Radeon R400 PCIe,Radeon R600,,A880,,,24,8,24,8,1.050 GVertices/s,,,
Radeon X1650 XT AGP,https://www.techpowerup.com/gpu-specs/radeon-x1650-xt-agp.c1808,2006,RV560,,8,8,512 MB,GDDR3,128 bit,RV560,"RV560 XT
(215PAGAKA12FG)",R500,TSMC,80 nm,330 million,230 mm²,"Oct 30th, 2006","Radeon R500 AGP
(X1650)",End-of-life,,540 MHz,"680 MHz
1360 Mbps effective",512 MB,GDDR3,128 bit,21.76 GB/s,,8,8,,4.320 GPixel/s,4.320 GTexel/s,,,,,,55 W,"2x DVI
1x S-Video",9.0c (9_3),2.1,N/A,N/A,3.0,AGP 8x,49 in our database,,,Single-slot,250 W,None,Radeon R400 AGP,Radeon R600,,,,,24,8,24,8,1.080 GVertices/s,,,
Radeon X1650 XT Dual,https://www.techpowerup.com/gpu-specs/radeon-x1650-xt-dual.c978,2006,RV560 x2,,8 x2,8 x2,256 MB x2,GDDR3,128 bit x2,RV560,"RV560 XT
(215PAGAKA12FG)",R500,TSMC,80 nm,330 million,230 mm²,"Oct 30th, 2006","Radeon R500 PCIe
(X1650)",End-of-life,,525 MHz,"700 MHz
1400 Mbps effective",256 MB,GDDR3,128 bit,22.40 GB/s,,8,8,,4.200 GPixel/s,4.200 GTexel/s,,,,,,unknown,2x DVI,9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,49 in our database,,,Single-slot,200 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,,,,24 x2,8 x2,24,8,1.050 GVertices/s,,,
Radeon X1800 GTO,https://www.techpowerup.com/gpu-specs/radeon-x1800-gto.c151,2006,R520,,12,12,256 MB,GDDR3,256 bit,R520,"R520 LE
(215RFLBKA14FG)",R500,TSMC,90 nm,321 million,288 mm²,"Mar 1st, 2006","Radeon R500 PCIe
(X1800)",End-of-life,,500 MHz,"495 MHz
990 Mbps effective",256 MB,GDDR3,256 bit,31.68 GB/s,,12,12,,6.000 GPixel/s,6.000 GTexel/s,,"254 mm
10 inches","111 mm
4.4 inches","19 mm
0.7 inches",,48 W,"2x DVI
1x S-Video",9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,76 in our database,,,Single-slot,200 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,A520,,,12,8,12,8,1.000 GVertices/s,,,
Radeon X1800 GTO2,https://www.techpowerup.com/gpu-specs/radeon-x1800-gto2.c453,2006,R520,,12,12,256 MB,GDDR3,256 bit,R520,,R500,TSMC,90 nm,321 million,288 mm²,"Mar 1st, 2006","Radeon R500 PCIe
(X1800)",End-of-life,,500 MHz,"500 MHz
1000 Mbps effective",256 MB,GDDR3,256 bit,32.00 GB/s,,12,12,,6.000 GPixel/s,6.000 GTexel/s,,,,,,unknown,"2x DVI
1x S-Video",9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,76 in our database,,,Single-slot,200 W,,Radeon R400 PCIe,Radeon R600,,,,,12,8,12,8,1.000 GVertices/s,,,
Radeon X1900 CrossFire Edition,https://www.techpowerup.com/gpu-specs/radeon-x1900-crossfire-edition.c887,2006,R580,,16,16,512 MB,GDDR3,256 bit,R580,R580 CF,R500,TSMC,90 nm,384 million,352 mm²,"Jan 24th, 2006","Radeon R500 PCIe
(X1900)",End-of-life,,625 MHz,"725 MHz
1450 Mbps effective",512 MB,GDDR3,256 bit,46.40 GB/s,,16,16,,10.00 GPixel/s,10.00 GTexel/s,,,,,,100 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,115 in our database,,,Dual-slot,300 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,A721,,,48,8,48,8,1.250 GVertices/s,,,
Radeon X1900 G5 Mac Edition,https://www.techpowerup.com/gpu-specs/radeon-x1900-g5-mac-edition.c2451,2006,R580,,12,12,256 MB,GDDR3,256 bit,R580,"R580 XL
(215BAEBKA31FG)",R500,TSMC,90 nm,384 million,352 mm²,"Nov 6th, 2006","Radeon R500 PCIe
(X1900)",End-of-life,349 USD,575 MHz,"600 MHz
1200 Mbps effective",256 MB,GDDR3,256 bit,38.40 GB/s,,12,12,,6.900 GPixel/s,6.900 GTexel/s,,,,,,75 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,115 in our database,,,Single-slot,250 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,,,,36,8,36,8,1.150 GVertices/s,,,
Radeon X1900 GT,https://www.techpowerup.com/gpu-specs/radeon-x1900-gt.c173,2006,R580,,12,12,256 MB,GDDR3,256 bit,R580,"R580 XL
(215BAEBKA31FG)",R500,TSMC,90 nm,384 million,352 mm²,"May 1st, 2006","Radeon R500 PCIe
(X1900)",End-of-life,,575 MHz,"600 MHz
1200 Mbps effective",256 MB,GDDR3,256 bit,38.40 GB/s,,12,12,,6.900 GPixel/s,6.900 GTexel/s,,,,,,75 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,115 in our database,,,Single-slot,250 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,A520,,,36,8,36,8,1.150 GVertices/s,,,
Radeon X1900 XT,https://www.techpowerup.com/gpu-specs/radeon-x1900-xt.c454,2006,R580,,16,16,256 MB,GDDR3,256 bit,R580,"R580 XT
(215BADBKA22FG)",R500,TSMC,90 nm,384 million,352 mm²,2006,"Radeon R500 PCIe
(X1900)",End-of-life,299 USD,625 MHz,"725 MHz
1450 Mbps effective",256 MB,GDDR3,256 bit,46.40 GB/s,,16,16,,10.00 GPixel/s,10.00 GTexel/s,,"242 mm
9.5 inches",,,,100 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,115 in our database,,,Dual-slot,300 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,A520,,,48,8,48,8,1.250 GVertices/s,,,
Radeon X1900 XTX,https://www.techpowerup.com/gpu-specs/radeon-x1900-xtx.c147,2006,R580,,16,16,512 MB,GDDR3,256 bit,R580,"R580 XT
(215BADBKA22FG)",R500,TSMC,90 nm,384 million,352 mm²,2006,"Radeon R500 PCIe
(X1900)",End-of-life,399 USD,650 MHz,"775 MHz
1550 Mbps effective",512 MB,GDDR3,256 bit,49.60 GB/s,,16,16,,10.40 GPixel/s,10.40 GTexel/s,,"242 mm
9.5 inches",,,,135 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,115 in our database,,,Dual-slot,300 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,A520,,,48,8,48,8,1.300 GVertices/s,,,
Radeon X1950 CrossFire Edition,https://www.techpowerup.com/gpu-specs/radeon-x1950-crossfire-edition.c886,2006,R580+,,16,16,512 MB,GDDR4,256 bit,R580+,"R580+ XT
(215BAABKA31FG)",R500,TSMC,90 nm,384 million,352 mm²,"Sep 10th, 2006","Radeon R500 PCIe
(X1950)",End-of-life,,650 MHz,"1000 MHz
2 Gbps effective",512 MB,GDDR4,256 bit,64.00 GB/s,,16,16,,10.40 GPixel/s,10.40 GTexel/s,,,,,,unknown,"1x DVI
1x VHDCI",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,144 in our database,,,Dual-slot,200 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,A988,,,48,8,48,8,1.300 GVertices/s,,,
Radeon X1950 PRO,https://www.techpowerup.com/gpu-specs/radeon-x1950-pro.c969,2006,RV570,,12,12,256 MB,GDDR3,256 bit,RV570,"RV570 XT
(215PADAKA12FG)",R500,TSMC,80 nm,330 million,230 mm²,"Oct 1st, 2006","Radeon R500 PCIe
(X1950)",End-of-life,,575 MHz,"690 MHz
1380 Mbps effective",256 MB,GDDR3,256 bit,44.16 GB/s,,12,12,,6.900 GPixel/s,6.900 GTexel/s,,"228 mm
9 inches","111 mm
4.4 inches",,,66 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,144 in our database,,,Single-slot,250 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,A999-31,,,36,8,36,8,1.150 GVertices/s,,,
Radeon X1950 PRO AGP,https://www.techpowerup.com/gpu-specs/radeon-x1950-pro-agp.c191,2006,RV570,,12,12,512 MB,GDDR3,256 bit,RV570,"RV570 XT
(215PADAKA12FG)",R500,TSMC,80 nm,330 million,230 mm²,"Oct 25th, 2006","Radeon R500 AGP
(X1950)",End-of-life,,575 MHz,"690 MHz
1380 Mbps effective",512 MB,GDDR3,256 bit,44.16 GB/s,,12,12,,6.900 GPixel/s,6.900 GTexel/s,,,,,,66 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,AGP 8x,144 in our database,,,Single-slot,250 W,2x Molex,Radeon R400 AGP,Radeon R600,,,,,36,8,36,8,1.150 GVertices/s,,,
Radeon X1950 XT,https://www.techpowerup.com/gpu-specs/radeon-x1950-xt.c190,2006,R580+,,16,16,256 MB,GDDR3,256 bit,R580+,"R580+ XT
(215BAABKA31FG)",R500,TSMC,90 nm,384 million,352 mm²,"Oct 17th, 2006","Radeon R500 PCIe
(X1950)",End-of-life,,625 MHz,"900 MHz
1800 Mbps effective",256 MB,GDDR3,256 bit,57.60 GB/s,,16,16,,10.00 GPixel/s,10.00 GTexel/s,,,,,,96 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,144 in our database,,,Dual-slot,250 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,,,,48,8,48,8,1.250 GVertices/s,,,
Radeon X1950 XT AGP,https://www.techpowerup.com/gpu-specs/radeon-x1950-xt-agp.c1935,2006,R580+,,16,16,256 MB,GDDR3,256 bit,R580+,"R580+ XT
(215BAABKA31FG)",R500,TSMC,90 nm,384 million,352 mm²,"Oct 17th, 2006","Radeon R500 AGP
(X1950)",End-of-life,,625 MHz,"703 MHz
1406 Mbps effective",256 MB,GDDR3,256 bit,44.99 GB/s,,16,16,,10.00 GPixel/s,10.00 GTexel/s,,,,,,96 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,AGP 8x,144 in our database,,,Dual-slot,250 W,1x 6-pin,Radeon R400 AGP,Radeon R600,,,,,48,8,48,8,1.250 GVertices/s,,,
Radeon X1950 XTX,https://www.techpowerup.com/gpu-specs/radeon-x1950-xtx.c168,2006,R580+,,16,16,512 MB,GDDR4,256 bit,R580+,"R580+ XT
(215BAABKA31FG)",R500,TSMC,90 nm,384 million,352 mm²,"Oct 17th, 2006","Radeon R500 PCIe
(X1950)",End-of-life,449 USD,650 MHz,"1000 MHz
2 Gbps effective",512 MB,GDDR4,256 bit,64.00 GB/s,,16,16,,10.40 GPixel/s,10.40 GTexel/s,,"230 mm
9.1 inches",,,,125 W,"2x DVI
1x S-Video",9.0c (9_3),"2.1 (full)
3.0 (partial)",N/A,N/A,3.0,PCIe 1.0 x16,144 in our database,,,Dual-slot,300 W,1x 6-pin,Radeon R400 PCIe,Radeon R600,,A915,,,48,8,48,8,1.300 GVertices/s,,,
Radeon X300 SE HyperMemory,https://www.techpowerup.com/gpu-specs/radeon-x300-se-hypermemory.c515,2006,RV370,,4,4,128 MB,DDR,64 bit,RV370,,Rage 9,TSMC,110 nm,107 million,74 mm²,"Oct 25th, 2006","Radeon R300
(X300)",End-of-life,,325 MHz,"300 MHz
600 Mbps effective",128 MB,DDR,64 bit,4.800 GB/s,,4,4,,1.300 GPixel/s,1.300 GTexel/s,,,,,,30 W,"1x DVI
1x VGA
1x S-Video",9.0,2.0,N/A,N/A,,PCIe 1.0 x16,11 in our database,,,Single-slot,200 W,,Radeon R200,Radeon R400 AGP,,,,,4,2,4,2,162.5 MVertices/s,2.0,2.0,
Radeon X850 CrossFire Edition,https://www.techpowerup.com/gpu-specs/radeon-x850-crossfire-edition.c537,2006,R480,,16,16,256 MB,GDDR3,256 bit,R480,"R480 XT
(215RBHAGA11F)",R400,TSMC,130 nm,160 million,297 mm²,"Sep 10th, 2006","Radeon R400 PCIe
(X850)",End-of-life,,520 MHz,"540 MHz
1080 Mbps effective",256 MB,GDDR3,256 bit,34.56 GB/s,,16,16,,8.320 GPixel/s,8.320 GTexel/s,,,,,,unknown,2x DVI,9.0b (9_2),2.1,N/A,N/A,,PCIe 1.0 x16,58 in our database,,,Dual-slot,200 W,1x 6-pin,Radeon R300,Radeon R500 PCIe,,,,,16,6,16,6,780.0 MVertices/s,2.0b,2.0b,
Radeon Xpress 1150 Mobile IGP,https://www.techpowerup.com/gpu-specs/radeon-xpress-1150-mobile-igp.c681,2006,RS485,,2,2,System Shared,System Shared,System Shared,RS485,,Rage 9,,110 nm,unknown,73 mm²,"May 23rd, 2006","Radeon IGP
(Xpress 1100 Mobile)",End-of-life,,400 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,,2,2,,800.0 MPixel/s,800.0 MTexel/s,,,,,,unknown,No outputs,9.0,2.0,N/A,N/A,,PCIe 1.0 x16,,,,IGP,,None,,,,,,,2,2,2,2,200.0 MVertices/s,2.0,2.0,
Wii GPU,https://www.techpowerup.com/gpu-specs/wii-gpu.c1917,2006,Hollywood,,4,4,64 MB,GDDR3,64 bit,Hollywood,,R500,NEC,90 nm,107 million,95 mm²,"Nov 19th, 2006","Console GPU
(Nintendo)",End-of-life,249 USD,243 MHz,"243 MHz
486 Mbps effective",64 MB,GDDR3,64 bit,3.888 GB/s,,4,4,,972.0 MPixel/s,972.0 MTexel/s,,"157 mm
6.2 inches","197 mm
7.8 inches","60 mm
2.4 inches",1.2 kg (2.7 lbs),45 W,No outputs,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,4,1,4,1,60.75 MVertices/s,N/A,N/A,
All-In-Wonder 2006 AGP Edition,https://www.techpowerup.com/gpu-specs/all-in-wonder-2006-agp-edition.c1389,2005,RV350,,4,4,256 MB,DDR,128 bit,RV350,RV351 LE,Rage 8,TSMC,130 nm,60 million,76 mm²,"Apr 29th, 2005","All-In-Wonder
(2006 Edition)",End-of-life,199 USD,324 MHz,"196 MHz
392 Mbps effective",256 MB,DDR,128 bit,6.272 GB/s,,4,4,,1.296 GPixel/s,1.296 GTexel/s,,,,,,unknown,"1x VGA
1x S-Video",9.0 (9_0),2.0,N/A,N/A,,AGP 8x,14 in our database,,,Single-slot,200 W,None,,,,A225,,,4,2,4,2,162.0 MVertices/s,2.0,2.0,
All-In-Wonder 2006 PCIe Edition,https://www.techpowerup.com/gpu-specs/all-in-wonder-2006-pcie-edition.c1388,2005,RV515,,4,4,256 MB,DDR2,128 bit,RV515,,R500,TSMC,90 nm,107 million,100 mm²,"Dec 22nd, 2005","All-In-Wonder
(2006 Edition)",End-of-life,199 USD,450 MHz,"400 MHz
800 Mbps effective",256 MB,DDR2,128 bit,12.80 GB/s,,4,4,,1.800 GPixel/s,1.800 GTexel/s,,"249 mm
9.8 inches","111 mm
4.4 inches",,,unknown,1x DVI,9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,48 in our database,,,Single-slot,200 W,None,,,,A767-34,,,4,2,4,2,225.0 MVertices/s,,,
All-In-Wonder X1800 XL,https://www.techpowerup.com/gpu-specs/all-in-wonder-x1800-xl.c160,2005,R520,,16,16,256 MB,GDDR3,256 bit,R520,R520 AIW,R500,TSMC,90 nm,321 million,288 mm²,"Oct 27th, 2005","All-In-Wonder
(X1)",End-of-life,429 USD,500 MHz,"500 MHz
1000 Mbps effective",256 MB,GDDR3,256 bit,32.00 GB/s,,16,16,,8.000 GPixel/s,8.000 GTexel/s,,"254 mm
10 inches","111 mm
4.4 inches","19 mm
0.7 inches",,75 W,1x DVI,9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,76 in our database,,,Single-slot,250 W,1x 6-pin,,,,A522,,,16,8,16,8,1.000 GVertices/s,,,
All-In-Wonder X600 PRO,https://www.techpowerup.com/gpu-specs/all-in-wonder-x600-pro.c111,2005,RV370,,4,4,256 MB,DDR,128 bit,RV370,RV370 AIW,Rage 9,TSMC,110 nm,107 million,74 mm²,"Jul 1st, 2005","All-In-Wonder
(X)",End-of-life,,400 MHz,"300 MHz
600 Mbps effective",256 MB,DDR,128 bit,9.600 GB/s,,4,4,,1.600 GPixel/s,1.600 GTexel/s,,,,,,unknown,"1x DVI
1x VGA",9.0,2.0,N/A,N/A,,PCIe 1.0 x16,24 in our database,,,Single-slot,200 W,None,,,,A464-04,,,4,2,4,2,200.0 MVertices/s,2.0,2.0,100-714131
All-In-Wonder X800 SE,https://www.techpowerup.com/gpu-specs/all-in-wonder-x800-se.c3670,2005,R420,,8,8,256 MB,GDDR3,256 bit,R420,R420 AIW,R400,TSMC,130 nm,160 million,281 mm²,"Apr 27th, 2005","All-In-Wonder
(X)",End-of-life,,425 MHz,"400 MHz
800 Mbps effective",256 MB,GDDR3,256 bit,25.60 GB/s,,8,8,,3.400 GPixel/s,3.400 GTexel/s,,,,,,unknown,1x DVI,9.0b (9_2),2.1,N/A,N/A,,AGP 8x,226 in our database,,,Single-slot,200 W,None,,,,A383-04,,,8,6,8,6,637.5 MVertices/s,2.0b,2.0b,100-714500
All-In-Wonder X800 VE,https://www.techpowerup.com/gpu-specs/all-in-wonder-x800-ve.c1912,2005,R420,,8,8,256 MB,GDDR3,256 bit,R420,R420 AIW,R400,TSMC,130 nm,160 million,281 mm²,"Apr 27th, 2005","All-In-Wonder
(X)",End-of-life,,425 MHz,"400 MHz
800 Mbps effective",256 MB,GDDR3,256 bit,25.60 GB/s,,8,8,,3.400 GPixel/s,3.400 GTexel/s,,,,,,unknown,1x DVI,9.0b (9_2),2.1,N/A,N/A,,AGP 8x,226 in our database,,,Single-slot,200 W,None,,,,A383-04,,,8,6,8,6,637.5 MVertices/s,2.0b,2.0b,100-714218
All-In-Wonder X800 XL,https://www.techpowerup.com/gpu-specs/all-in-wonder-x800-xl.c149,2005,R430,,16,16,256 MB,GDDR3,256 bit,R430,R430 AIW,R400,TSMC,110 nm,160 million,240 mm²,"Jan 21st, 2005","All-In-Wonder
(X)",End-of-life,329 USD,400 MHz,"490 MHz
980 Mbps effective",256 MB,GDDR3,256 bit,31.36 GB/s,,16,16,,6.400 GPixel/s,6.400 GTexel/s,,,,,,unknown,1x DVI,9.0b (9_2),2.1,N/A,N/A,,PCIe 1.0 x16,226 in our database,,,Single-slot,200 W,None,,,,A543,,,16,6,16,6,600.0 MVertices/s,2.0b,2.0b,
FireGL V3300,https://www.techpowerup.com/gpu-specs/firegl-v3300.c850,2005,RV515,,4,4,128 MB,DDR2,64 bit,RV515,RV515 GL,R500,TSMC,90 nm,107 million,100 mm²,"Oct 1st, 2005","FireGL
(Vx300)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",128 MB,DDR2,64 bit,6.400 GB/s,,4,4,,2.400 GPixel/s,2.400 GTexel/s,,,,,,unknown,No outputs,9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,5 in our database,,,Single-slot,200 W,None,,,,A776-31,,,4,2,4,2,300.0 MVertices/s,,,
FireGL V3350,https://www.techpowerup.com/gpu-specs/firegl-v3350.c851,2005,RV515,,4,4,256 MB,DDR2,64 bit,RV515,RV515 GL,R500,TSMC,90 nm,107 million,100 mm²,"Oct 1st, 2005","FireGL
(Vx300)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",256 MB,DDR2,64 bit,6.400 GB/s,,4,4,,2.400 GPixel/s,2.400 GTexel/s,,,,,,unknown,No outputs,9.0c (9_3),2.1,N/A,N/A,3.0,PCIe 1.0 x16,5 in our database,,,Single-slot,200 W,None,,,,A671-31,,,4,2,4,2,300.0 MVertices/s,,,
